Vial #,Site,Date Sampled,Date counted,Trichoptera wings,Diptera wings,Hemiptera wings,Odonata wings,Ephemeroptera wings,Coleoptera wings,Date Number,Total,,,,,
18,Trap James 1,6/8/2015,6/15/2016,,,,3,,,158,3,,,,,
39,MR Bridge,6/13/2015,6/29/2016,15,21,,,,,163,36,,,,,
40,trap 3,6/13/2015,6/29/2016,1,17,,,4,,163,22,,,,,
19,BCRA Dip Net,6/15/2015,6/15/2016,,,2,,14,1,165,17,,,,,
15,James Trap 1,6/18/2015,6/14/2016,1,20,,11,13,,168,45,,,,,
22,Clay Co. Park,6/18/2015,6/20/2016,20,,,,5,3,168,28,,,,,
23,Clay Co. Park,6/18/2015,6/20/2016,,78,2,,,1,168,81,,,,,
37,AL Bend Pond,6/29/2015,6/28/2016,,,6,,17,1,179,24,,,,,
25,Clay Co. Park,7/6/2015,6/21/2016,,,,,10,,186,10,,,,,
1,Myron Grove,7/9/2015,6/10/2016,23,5,,,,,189,28,,,,,
6,Clay Co. Park,7/9/2015,6/10/2016,21,7,,1,3,1,189,33,,,,,
8,Myron Grove,7/9/2015,6/10/2016,8,,,,5,,189,13,,,,,
9,Clay Co. Park,7/9/2015,6/13/2016,11,,,,13,,189,24,,,,,
11,Myron Grove,7/9/2015,6/13/2016,67,,,,,,189,67,,,,,
27,Markept. IA,7/12/2015,6/23/2016,,,,,6,,192,6,,,,,
5,Clay Co. Park,7/23/2015,6/10/2016,,,,1,,,203,1,,,,,
14,Myron Grove,7/23/2015,6/14/2016,16,,,,,,203,16,,,,,
17,Myron Grove,7/23/2015,6/14/2016,,3,,1,3,,203,7,,,,,
4,Clay Co. Park,7/23/2015,6/10/2016,1,2,,,4,,203,7,,,,,
13,Myon Grove ,7/23/2015,6/14/2016,7,9,,,3,,203,19,,,,,
26,Myron Grove,7/23/2015,6/21/2016,5,16,,,,,203,21,,,,,
31,Mesocosms,7/27/2015,6/28/2016,,2,,,2,,207,4,,,,,
44,Mesocosms,7/27/2015,7/1/2016,,,1,,,,207,1,,,,,
41,Clay Co. Park,7/30/2015,7/1/2016,9,4,4,,1,,210,18,,,,,
3,Verdigre 1,8/3/2015,6/10/2016,,1,2,1,,,214,4,,,,,
24,Mesocosms,8/6/2015,6/20/2015,1,8,,,,,217,9,,,,,
28,Verm/ enterville,8/13/2015,6/23/2016,5,27,,1,,,224,33,,,,,
43,verdige,8/13/2015,7/1/2016,,,2,,5,,224,7,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
