Order,Family,Total,Infected,Wolbachia
Coleoptera,Hydrophilidae,26,12,1
Coleoptera,Hydrophilidae,32,0,0
Diptera,Culicidae,54,0,0
Diptera,Culicidae,19,15,1
Diptera,Culicidae,11,5,1
Diptera,Culicidae,6,0,0
Diptera,Culicidae,1,0,0
Diptera,Culicidae,31,0,0
Diptera,Culicidae,11,0,0
Diptera,Culicidae,12,0,0
Diptera,Culicidae,16,11,1
Diptera,Culicidae,125,101,1
Diptera,Culicidae,101,75,1
Diptera,Culicidae,174,69,1
Diptera,Culicidae,12,0,0
Diptera,Culicidae,8,0,0
Diptera,Culicidae,28,0,0
Diptera,Culicidae,156,133,1
Diptera,Culicidae,29,0,0
Diptera,Culicidae,508,508,1
Diptera,Culicidae,116,77,1
Diptera,Culicidae,12,0,0
Hemiptera,Corixidae,7,0,0
Hemiptera,Gerridae,2,0,0
Hemiptera,Gerridae,12,7,1
Hemiptera,Hydrometridae,17,0,0
Hemiptera,Mesoveliidae,21,0,0
Hemiptera,Notonectidae,2,0,0
Odonata,Coenagrionidae,2,0,0
Odonata,Coenagrionidae,21,19,1
Odonata,Coenagrionidae,22,0,0
Odonata,Coenagrionidae,15,0,0
Odonata,Coenagrionidae,22,0,0
Odonata,Libellulidae,56,9,1
Odonata,Libellulidae,16,0,0
Odonata,Libellulidae,252,220,1
Odonata,Libellulidae,16,4,1
Odonata,Libellulidae,74,56,1
Odonata,Libellulidae,10,0,0
Odonata,Libellulidae,28,7,1
Odonata,Libellulidae,9,0,0
Odonata,Libellulidae,5,0,0
Odonata,Libellulidae,36,28,1
