Class,Subdivision,Order,Family,Genus,Species,Subpop.,Total,Infected,Pool Size,Bacterium,Paper,AT,Infected
Insecta,,Coleoptera,Hydrophilidae,Berosus,sp.,,26,12,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Coleoptera,Hydrophilidae,Hydrophilus,acuminatus,,32,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Aedes,albopictus,,54,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Aedes,niveus,,19,15,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Aedes,perplexus,,11,5,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Aedes,pseudalbopictus,,6,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Anopheles,dirus,,1,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Anopheles,maculatus,,31,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Anopheles,sinensis,,11,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Anopheles,vagus,,12,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Culex,bitaeniorhynchus,,16,11,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Culex,fuscocephala,,125,101,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Culex,gelidus,,101,75,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Culex,quinquefasciatus,,174,69,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Culex,tritaeniorhynchus,,12,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Culex,vishnui,,8,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Mimomyia,chamberlaini,,28,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Mimomyia,hybrida,,156,133,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Mimomyia,luzonensis,,29,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Diptera,Culicidae,Tripteroides,aranoides,,508,508,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Uranotaenia,lateralis,,116,77,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Diptera,Culicidae,Uranotaenia,patriciae,,12,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Hemiptera,Corixidae,Micronecta,quadristrigata,,7,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Hemiptera,Gerridae,Limnogonus,fossarum,,2,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Hemiptera,Gerridae,Limnogonus,nitidus,,12,7,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Hemiptera,Hydrometridae,Hydrometra,vittata,,17,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Hemiptera,Mesoveliidae,Mesovelia,sp.,,21,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Hemiptera,Notonectidae,Anisops,sardea,,2,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Coenagrionidae,Agriocnemis,femina,,2,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Coenagrionidae,Ischnura,aurora,,21,19,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Odonata,Coenagrionidae,Ischnura,senegalensis,,22,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Coenagrionidae,Pseudoagrion,microcephalum,,15,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Coenagrionidae,Pseudoagrion,pruinosum,,22,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Libellulidae,Actsoma,panorpoides,,56,9,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Odonata,Libellulidae,Brachythemis,contaminata,,16,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Libellulidae,Bradinopyga,geminata,,252,220,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Odonata,Libellulidae,Crocothemis,servilia,,16,4,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Odonata,Libellulidae,Diplacodes,nebulosa,,74,56,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Odonata,Libellulidae,Diplacodes,trivialis,,10,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Libellulidae,Neurothemis,tullia,,28,7,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
Insecta,,Odonata,Libellulidae,Orthetrum,sabina,,9,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Libellulidae,Tholymis,tillarga,,5,0,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,0
Insecta,,Odonata,Libellulidae,Trithemis,aurora,,36,28,1,Wolbachia,Wiwatanaratanabutr16,Aquatic,1
